playerID,daysActive,BatG,BatBA,BatHR,FieldG,PitchW,PitchL,allStarCount,Cy_Young_Award,Gold_Glove_Award,Silver_Slugger,MVP,avgSalary,inducted
wathajo01,3420,878,0.260339,21,846,0,0,0,0,0,0,0,412500,0
watsobo01,6596,1849,0.295982,186,1685,0,0,2,0,0,0,0,0,0
weisswa01,4830,1541,0.255535,26,1508,0,0,1,0,0,0,0,1476842,0
welchbo01,5896,537,0.14966,2,524,214,149,2,1,0,0,0,1930417,0
welchmi01,4399,609,0.223881,12,624,308,212,0,0,0,0,0,0,1
wellsda01,7395,687,0.13587,0,687,249,162,3,0,0,0,1,2928433,0
werbebi01,4455,1306,0.271758,78,1301,0,0,0,0,0,0,0,0,0
wertzvi01,6001,1866,0.278005,267,1608,0,0,4,0,0,0,0,0,0
westrwe01,3665,929,0.217021,96,913,0,0,2,0,0,0,0,0,0
westsa01,5639,1753,0.298959,75,1602,0,0,4,0,0,0,0,0,0
wettejo01,4130,635,0.166667,1,635,48,46,3,0,0,0,1,3046045,0
wheatza01,6584,2422,0.316543,132,2349,0,0,0,0,0,0,0,0,1
whitalo01,6596,2403,0.276018,245,2321,0,0,5,0,3,4,0,1796364,0
whitebu01,4900,936,0.264837,17,899,0,0,2,0,0,0,0,0,0
whitede01,7093,1575,0.310985,23,1619,0,0,0,0,0,0,0,0,1
whitede03,5877,1990,0.264171,211,1916,0,0,3,0,7,0,0,2294375,0
whiteea01,5859,549,0.204019,4,543,219,185,0,0,0,0,0,0,0
whitefr01,6319,2366,0.254464,162,2365,0,0,5,0,8,1,1,867000,0
whiteha01,4760,337,0.145098,0,336,46,54,0,0,0,0,0,0,0
whitero01,5133,1906,0.271214,162,1671,0,0,2,0,0,0,0,0,0
whitero02,5142,1478,0.283879,200,1249,0,0,1,0,0,0,0,2343400,0
whitewi01,3272,403,0.183356,1,408,229,166,0,0,0,0,0,0,0
wilheho01,7388,1072,0.0877598,1,1072,143,122,8,0,0,0,0,0,1
willibe02,5565,2197,0.295656,309,2042,0,0,5,0,4,1,1,6443750,0
willibi01,6267,2491,0.28973,426,2184,0,0,6,0,0,0,0,0,1
willicy01,6640,2002,0.292183,251,1818,0,0,0,0,0,0,0,0,0
willidi02,4862,1026,0.25971,70,921,0,0,0,0,0,0,0,0,1
willike01,5141,1397,0.31921,196,1301,0,0,0,0,0,0,0,0,0
willima04,5894,1917,0.267733,384,1932,0,0,5,0,4,4,0,5257333,0
willimi02,4049,628,0.1875,1,628,47,60,1,0,0,0,0,1557813,0
willine01,4532,1214,0.252939,64,1225,1,2,0,0,0,0,0,0,0
willite01,7832,2299,0.34394,521,2159,0,0,19,0,0,0,2,0,1
willivi01,4520,533,0.165665,1,527,249,206,0,0,0,0,0,0,1
williwo02,5244,451,0.194192,4,432,135,119,1,0,0,0,0,3380767,0
willsma01,4869,1963,0.28085,20,1939,0,0,7,0,2,0,2,0,0
wilsoha01,3983,1360,0.307052,244,1275,0,0,0,0,0,0,0,0,1
wilsoji01,6375,1545,0.28365,32,1387,0,0,2,0,0,0,0,0,0
wilsowi02,6463,2192,0.285116,42,2069,0,0,2,0,1,2,0,1120437,0
winfida01,8139,2999,0.28197,467,2498,0,0,12,0,7,6,0,2099553,1
winnra01,4528,1717,0.284352,110,1606,0,0,1,0,0,0,0,3519167,0
wiseri01,6566,514,0.19403,15,509,190,181,2,0,0,0,0,0,0
wittbo01,5659,442,0.140625,1,434,142,157,0,0,0,0,0,1436222,0
wittmi01,4450,344,0,0,344,118,116,2,0,0,0,0,1594444,0
wittwh01,3781,1150,0.285952,18,1069,0,0,0,0,0,0,0,0,0
womacto01,4670,1343,0.270756,36,1290,0,0,1,0,0,0,0,2340000,0
woodjo02,5144,704,0.282885,23,675,120,58,0,0,0,0,0,0,0
woodwi01,6262,651,0.0838509,0,651,164,156,3,0,0,0,0,0,0
worreto01,4411,632,0.0689655,0,637,51,53,3,0,0,0,0,1739167,0
wrighge01,4168,591,0.301565,11,595,0,1,0,0,0,0,0,0,1
wrighgl01,4068,1130,0.292392,95,1085,0,0,0,0,0,0,0,0,0
wrighha01,2339,180,0.272059,4,215,4,4,0,0,0,0,0,0,1
wyattwh01,5784,368,0.218597,7,362,107,96,4,0,0,0,0,0,0
wynnea01,8766,800,0.214494,17,695,301,246,8,1,0,0,0,0,1
wynnji01,5193,1929,0.250037,292,1842,0,0,3,0,0,0,0,0,0
yastrca01,8209,3325,0.285655,456,2892,0,0,18,0,7,0,2,0,1
yeagest01,5140,1307,0.228393,107,1268,0,0,0,0,0,0,1,456405,0
yerkest02,2572,719,0.26792,6,704,0,0,0,0,0,0,0,0,0
yorkru01,5143,1624,0.274464,280,1578,0,0,7,0,0,0,0,0,0
youngcy01,7730,925,0.20931,18,915,513,319,0,0,0,0,0,0,1
younger01,5164,1737,0.283341,81,1563,0,0,1,0,0,1,0,2103750,0
youngpe01,4541,730,0.261557,32,670,0,0,0,0,0,0,0,0,0
youngro01,3241,1237,0.321535,43,1238,0,0,0,0,0,0,0,0,1
yountro01,7121,2873,0.285766,252,2726,0,0,3,0,1,3,2,1966667,1
zachato01,6531,550,0.22458,6,537,189,191,0,0,0,0,0,0,0
zachrpa01,3335,297,0.112853,0,297,71,67,1,0,0,0,0,0,0
zahnge01,4364,305,0.139535,0,305,111,110,0,0,0,0,0,550000,0
zeileto01,5525,2187,0.265027,257,2128,0,0,0,0,0,0,0,2548000,0
zimmech01,7009,1286,0.269206,26,1273,0,0,0,0,0,0,0,0,0
ziskri01,4396,1459,0.287568,207,910,0,0,2,0,0,0,0,272500,0
