playerID,BatG,BatAB,BatR,BatH,Bat2B,Bat3B,BatHR,BatRBI,BatSB,BatCS,BatBB,BatSO,BatIBB,BatHBP,BatSH,BatSF,BatGIDP,FieldG,FieldGS,FieldInnOuts,FieldPO,FieldA,FieldE,FieldDP,FieldPB,FieldWP,FieldSB,FieldCS,FieldZR,PitchW,PitchL,PitchG,PitchGS,PitchCG,PitchSHO,PitchSV,PitchIPouts,PitchH,PitchER,PitchHR,PitchBB,PitchSO,PitchBAOpp,PitchERA,PitchIBB,PitchWP,PitchHBP,PitchBK,PitchBFP,PitchGF,PitchR,PitchSH,PitchSF,PitchGIDP,allStarCount,AllStar_MVP,Babe_Ruth_Award,Cy_Young_Award,Gold_Glove_Award,DH_Award,Pitching_Crown,Relief_Award,ROY_Award,Silver_Slugger,Batting_Crown,World_Series_MVP,AL_MVP,NL_MVP,inducted
wilsoju99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
wilsowi02,2154,7731,1169,2207,281,147,41,585,668,134,425,1144,27,62,64,35,90,2031,1792,48317,5060,76,67,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0
winfida01,2973,11003,1669,3110,540,88,465,1833,223,96,1216,1686,172,25,19,95,319,2479,2422,64515,5012,168,95,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,7,0,0,0,0,6,0,0,0,0,1
winnra01,1717,6186,863,1759,367,59,110,662,215,84,526,1010,23,53,58,55,98,1606,1491,40108,3691,78,31,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wiseri01,511,668,60,130,21,5,15,66,0,0,27,240,0,3,40,3,7,506,455,9382,206,504,13,46,0,0,0,0,0,188,181,506,455,138,30,0,9381,3227,1281,261,804,1647,4.82,72.96,83,49,44,9,13157,15,1455,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wittbo01,438,64,2,9,3,0,1,5,0,0,2,25,0,0,6,1,0,430,397,7395,148,294,30,28,0,0,0,0,0,142,157,430,397,47,11,0,7395,2493,1324,252,1375,1955,4.1160000000000005,95.55,37,128,39,26,11003,13,1449,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wittmi01,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,299,6325,147,298,23,21,0,0,0,0,0,117,116,341,299,72,11,6,6325,2066,898,183,713,1373,3.37,55.91,40,73,55,5,8927,22,1012,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wittwh01,1139,4171,632,1195,144,62,18,302,78,41,489,309,0,7,104,0,0,1058,0,0,2256,1041,184,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
womacto01,1303,4963,739,1353,190,59,36,368,363,74,308,649,9,28,57,33,53,1250,1156,30766,2044,2780,134,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
woodjo02,696,1952,266,553,118,31,23,325,23,3,208,189,0,16,96,0,0,667,0,0,911,518,56,30,0,0,0,0,0,117,57,225,158,121,28,11,4309,1138,324,10,421,989,2.4,42.52,0,43,49,0,5675,57,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
