playerID,daysActive,BatG,BatBA,BatHR,FieldG,FieldPercent,PitchW,PitchL,PitchKBB,allStarCount,Cy_Young_Award,Gold_Glove_Award,Silver_Slugger,MVP,avgSalary,inducted
picked01,1458,66,0.17801,0.666667,56,0.78194,0,0,0,0,0,0,0,0,0,0
pickeda01,15,14,0.27907,0,14,0.9545,0,0,0,0,0,0,0,0,0,0
pickejo01,1091,189,0.252336,1.66667,189,0.86762,0,0,0,0,0,0,0,0,0,0
pickeol01,4442,885,0.271723,1,862,0.859936,0,0,0,0,0,0,0,0,0,0
pickeri01,7,2,0,0,2,0,0,0,0.5,0,0,0,0,0,0,0
pickeur01,526,235,0.256892,5.5,217,0.830325,0,0,0,0,0,0,0,0,0,0
pickfke01,66,16,0,0,16,0.8889,0,2,0.9,0,0,0,0,0,0,0
pickrcl01,416,19,0,0,19,0.5,1,0,1.64285,0,0,0,0,0,0,0
picoje01,831,113,0.181818,0,113,0.940533,13,12,1.25543,0,0,0,0,0,120000,0
piconma01,2462,13,0.166667,0,13,1,0,2,0.4471,0,0,0,0,0,0,0
piechal01,354,22,0.2,0,22,0.5,2,5,0.2195,0,0,0,0,0,0,0
piedrjo01,733,142,0.274809,4,65,1,0,0,0,0,0,0,0,0,335000,0
piefe01,2357,425,0.24572,2.83333,374,0.997433,0,0,0,0,0,0,0,0,554125,0
piehcy01,749,44,0.0980392,0,43,0.957567,9,9,0.954733,0,0,0,0,0,0,0
piercan01,49,2,0.25,0,2,0.75,0,0,0,0,0,0,0,0,0,0
piercbi01,3260,116,0.172775,0,116,0.8949,27,43,0.91275,0,0,0,0,0,0,0
piercbi02,7064,616,0.184211,0,586,0.961274,211,169,1.83971,7,0,0,0,0,0,1
pierced01,6,2,0,0,2,1,0,0,0.75,0,0,0,0,0,0,0
piercgr01,822,84,0.185668,0,87,0.87879,0,0,0,0,0,0,0,0,0,0
piercja01,868,70,0.211055,2.66667,57,0.9764,0,0,0,0,0,0,0,0,0,0
piercje01,28,12,0,0,12,1,0,3,0.8571,0,0,0,0,0,0,0
piercma01,1,2,0.142857,0,2,0.7778,0,0,0,0,0,0,0,0,0,0
piercra01,857,68,0.153846,0,66,0.984133,7,11,0.5881,0,0,0,0,0,0,0
piercto01,434,66,0,0,66,1,4,6,1.81665,0,0,0,0,0,0,0
pierema01,1991,220,0.217391,0,194,0.930029,30,38,0.590214,0,0,0,0,0,0,0
pieroal01,258,8,0.222222,0,8,0.75,1,2,0.8333,0,0,0,0,0,0,0
pierrbi01,64,13,0.222222,0,12,1,0,2,0.4643,0,0,0,0,0,0,0
pierrju01,4801,1994,0.294618,1.28571,1831,0.989393,0,0,0,0,0,0,0,0,4389615,0
piersch01,37,11,0,0,11,1,0,0,1.1667,0,0,0,0,0,0,0
piersda01,156,57,0.236051,0,65,0.603167,0,1,0,0,0,0,0,0,0,0
piersdi01,2,3,0.111111,0,3,0.6818,0,0,0,0,0,0,0,0,0,0
piersji01,6080,1734,0.272326,5.47368,1646,0.967177,0,0,0,2,0,2,0,0,0,0
pierswi01,2129,11,0.285714,0,11,0.8889,0,1,0.266667,0,0,0,0,0,0,0
pierzaj01,6576,2059,0.280247,9.4,1936,0.99521,0,0,0,2,0,0,1,0,4045000,0
pietto01,2605,744,0.277369,2.55556,691,0.899493,0,0,0,0,0,0,0,0,0,0
piezsa01,172,37,0.375,0,5,1,0,0,0,0,0,0,0,0,0,0
pignaca01,235,6,0,0,6,0,0,0,0,0,0,0,0,0,391500,0
pignajo01,1981,307,0.233672,2.28571,269,0.9939,0,0,0,0,0,0,0,0,0,0
pikeje01,30,16,0.170732,1,10,0.9286,0,0,0,0,0,0,0,0,0,0
pikeli01,5924,425,0.32123,1.81818,445,0.80152,0,0,0,0,0,0,0,0,0,1
piktuge01,3,2,0,0,2,0,0,0,1.5,0,0,0,0,0,0,0
pilaral01,1899,668,0.255886,3.14286,531,0.983029,0,0,0,0,0,0,0,0,0,0
pillake01,1145,394,0.267012,6,385,0.9946,0,0,0,0,0,0,0,0,516550,0
pillbr01,753,111,0.233333,3,67,0.8314,0,0,0,0,0,0,0,0,487000,0
pilledu01,2616,202,0.140221,0.111111,188,0.882511,38,66,0.843456,0,0,0,0,0,0,0
pillehe01,2617,107,0.215385,0,107,0.697725,34,32,0.611775,0,0,0,0,0,0,0
pillisq01,6,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0
pilnean01,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pimenst01,615,33,0,0,33,0.666667,2,2,3.06943,0,0,0,0,0,505500,0
pinaho01,3700,314,0.185185,0,314,0.979111,23,23,1.21406,0,0,0,0,0,0,0
pinama01,1887,38,0.241379,0.666667,22,0.997233,0,0,0,0,0,0,0,0,480425,0
pindebr01,371,26,1,0,26,0.5,0,2,1.39285,0,0,0,0,0,0,0
pindech01,43,22,0.235294,1,20,0.95715,0,0,0,0,0,0,0,0,0,0
pinedlu01,330,42,0,0,42,1,1,4,1.11015,0,0,0,0,0,208000,0
pinedmi01,2005,100,0.125,0,100,0.937725,32,37,5.7271,1,0,0,0,0,1835619,0
pineijo01,4065,344,0.101796,0,335,0.973062,104,93,2.2381,0,0,0,0,0,4819500,0
